tbar,stor,zcut,trail,cb,cool,scale,train_t
1.25,1.5,-0.4479166666666665,0.4,0.995,3,0.46650018315663344,1.6753787069607333
1.25,1.5,-0.4479166666666665,0.4,0.995,4,0.46650018315663344,2.1495424950165773
1.25,1.5,-0.4479166666666665,0.4,0.995,5,0.46650018315663344,2.3301509168344663
1.25,1.5,-0.4479166666666665,0.4,0.995,7,0.46650018315663344,-0.44553535610312267
1.25,1.5,-0.4479166666666665,0.4,0.995,10,0.46650018315663344,1.30508736013134
1.25,1.5,-0.4479166666666665,0.4,0.995,13,0.46650018315663344,2.0344084667538223
1.25,1.5,-0.4479166666666665,0.4,0.999,0,0.46650018315663344,1.8802495162260195
1.25,1.5,-0.4479166666666665,0.4,0.999,1,0.46650018315663344,1.8747584284145762
1.25,1.5,-0.4479166666666665,0.4,0.999,2,0.46650018315663344,0.9671940710592724
1.25,1.5,-0.4479166666666665,0.4,0.999,3,0.46650018315663344,1.6753787069607333
1.25,1.5,-0.4479166666666665,0.4,0.999,4,0.46650018315663344,2.1495424950165773
1.25,1.5,-0.4479166666666665,0.4,0.999,5,0.46650018315663344,2.3301509168344663
1.25,1.5,-0.4479166666666665,0.4,0.999,7,0.46650018315663344,-0.44553535610312267
1.25,1.5,-0.4479166666666665,0.4,0.999,10,0.46650018315663344,1.30508736013134
1.25,1.5,-0.4479166666666665,0.4,0.999,13,0.46650018315663344,2.0344084667538223
1.25,1.5,-0.4479166666666665,0.45,0.5,0,0.46650018315663344,1.7602323222460188
1.25,1.5,-0.4479166666666665,0.45,0.5,1,0.46650018315663344,1.8429690543386041
1.25,1.5,-0.4479166666666665,0.45,0.5,2,0.46650018315663344,1.1359058045892374
1.25,1.5,-0.4479166666666665,0.45,0.5,3,0.46650018315663344,1.3411527049617724
1.25,1.5,-0.4479166666666665,0.45,0.5,4,0.46650018315663344,2.2770805548703925
1.25,1.5,-0.4479166666666665,0.45,0.5,5,0.46650018315663344,2.085911033338652
1.25,1.5,-0.4479166666666665,0.45,0.5,7,0.46650018315663344,-0.221232926923913
1.25,1.5,-0.4479166666666665,0.45,0.5,10,0.46650018315663344,1.6214277442747544
1.25,1.5,-0.4479166666666665,0.45,0.5,13,0.46650018315663344,1.9351623619731912
1.25,1.5,-0.4479166666666665,0.45,0.75,0,0.46650018315663344,1.7602323222460188
1.25,1.5,-0.4479166666666665,0.45,0.75,1,0.46650018315663344,1.8429690543386041
1.25,1.5,-0.4479166666666665,0.45,0.75,2,0.46650018315663344,1.1359058045892374
1.25,1.5,-0.4479166666666665,0.45,0.75,3,0.46650018315663344,1.3411527049617724
1.25,1.5,-0.4479166666666665,0.45,0.75,4,0.46650018315663344,2.2770805548703925
1.25,1.5,-0.4479166666666665,0.45,0.75,5,0.46650018315663344,2.085911033338652
1.25,1.5,-0.4479166666666665,0.45,0.75,7,0.46650018315663344,-0.221232926923913
1.25,1.5,-0.4479166666666665,0.45,0.75,10,0.46650018315663344,1.6214277442747544
1.25,1.5,-0.4479166666666665,0.45,0.75,13,0.46650018315663344,1.9351623619731912
1.25,1.5,-0.4479166666666665,0.45,0.9,0,0.46650018315663344,1.7602323222460188
1.25,1.5,-0.4479166666666665,0.45,0.9,1,0.46650018315663344,1.8429690543386041
1.25,1.5,-0.4479166666666665,0.45,0.9,2,0.46650018315663344,1.1359058045892374
1.25,1.5,-0.4479166666666665,0.45,0.9,3,0.46650018315663344,1.3411527049617724
1.25,1.5,-0.4479166666666665,0.45,0.9,4,0.46650018315663344,2.2770805548703925
1.25,1.5,-0.4479166666666665,0.45,0.9,5,0.46650018315663344,2.085911033338652
1.25,1.5,-0.4479166666666665,0.45,0.9,7,0.46650018315663344,-0.221232926923913
1.25,1.5,-0.4479166666666665,0.45,0.9,10,0.46650018315663344,1.6214277442747544
1.25,1.5,-0.4479166666666665,0.45,0.9,13,0.46650018315663344,1.9351623619731912
1.25,1.5,-0.4479166666666665,0.45,0.95,0,0.46650018315663344,1.7602323222460188
1.25,1.5,-0.4479166666666665,0.45,0.95,1,0.46650018315663344,1.8429690543386041
1.25,1.5,-0.4479166666666665,0.45,0.95,2,0.46650018315663344,1.1359058045892374
1.25,1.5,-0.4479166666666665,0.45,0.95,3,0.46650018315663344,1.3411527049617724
1.25,1.5,-0.4479166666666665,0.45,0.95,4,0.46650018315663344,2.2770805548703925
1.25,1.5,-0.4479166666666665,0.45,0.95,5,0.46650018315663344,2.085911033338652
1.25,1.5,-0.4479166666666665,0.45,0.95,7,0.46650018315663344,-0.221232926923913
1.25,1.5,-0.4479166666666665,0.45,0.95,10,0.46650018315663344,1.6214277442747544
1.25,1.5,-0.4479166666666665,0.45,0.95,13,0.46650018315663344,1.9351623619731912
1.25,1.5,-0.4479166666666665,0.45,0.99,0,0.46650018315663344,1.7602323222460188
1.25,1.5,-0.4479166666666665,0.45,0.99,1,0.46650018315663344,1.8429690543386041
1.25,1.5,-0.4479166666666665,0.45,0.99,2,0.46650018315663344,1.1359058045892374
1.25,1.5,-0.4479166666666665,0.45,0.99,3,0.46650018315663344,1.3411527049617724
1.25,1.5,-0.4479166666666665,0.45,0.99,4,0.46650018315663344,2.2770805548703925
1.25,1.5,-0.4479166666666665,0.45,0.99,5,0.46650018315663344,2.085911033338652
1.25,1.5,-0.4479166666666665,0.45,0.99,7,0.46650018315663344,-0.221232926923913
1.25,1.5,-0.4479166666666665,0.45,0.99,10,0.46650018315663344,1.6214277442747544
1.25,1.5,-0.4479166666666665,0.45,0.99,13,0.46650018315663344,1.9351623619731912
1.25,1.5,-0.4479166666666665,0.45,0.995,0,0.46650018315663344,1.7602323222460188
1.25,1.5,-0.4479166666666665,0.45,0.995,1,0.46650018315663344,1.8429690543386041
1.25,1.5,-0.4479166666666665,0.45,0.995,2,0.46650018315663344,1.1359058045892374
1.25,1.5,-0.4479166666666665,0.45,0.995,3,0.46650018315663344,1.3411527049617724
1.25,1.5,-0.4479166666666665,0.45,0.995,4,0.46650018315663344,2.2770805548703925
1.25,1.5,-0.4479166666666665,0.45,0.995,5,0.46650018315663344,2.085911033338652
1.25,1.5,-0.4479166666666665,0.45,0.995,7,0.46650018315663344,-0.221232926923913
1.25,1.5,-0.4479166666666665,0.45,0.995,10,0.46650018315663344,1.6214277442747544
1.25,1.5,-0.4479166666666665,0.45,0.995,13,0.46650018315663344,1.9351623619731912
1.25,1.5,-0.4479166666666665,0.45,0.999,0,0.46650018315663344,1.7602323222460188
1.25,1.5,-0.4479166666666665,0.45,0.999,1,0.46650018315663344,1.8429690543386041
1.25,1.5,-0.4479166666666665,0.45,0.999,2,0.46650018315663344,1.1359058045892374
1.25,1.5,-0.4479166666666665,0.45,0.999,3,0.46650018315663344,1.3411527049617724
1.25,1.5,-0.4479166666666665,0.45,0.999,4,0.46650018315663344,2.2770805548703925
1.25,1.5,-0.4479166666666665,0.45,0.999,5,0.46650018315663344,2.085911033338652
1.25,1.5,-0.4479166666666665,0.45,0.999,7,0.46650018315663344,-0.221232926923913
1.25,1.5,-0.4479166666666665,0.45,0.999,10,0.46650018315663344,1.6214277442747544
1.25,1.5,-0.4479166666666665,0.45,0.999,13,0.46650018315663344,1.9351623619731912
1.25,1.5,-0.4479166666666665,0.5,0.5,0,0.46650018315663344,2.186848793210214
1.25,1.5,-0.4479166666666665,0.5,0.5,1,0.46650018315663344,1.8588655718956821
1.25,1.5,-0.4479166666666665,0.5,0.5,2,0.46650018315663344,1.0701060073397999
1.25,1.5,-0.4479166666666665,0.5,0.5,3,0.46650018315663344,1.383231089778993
1.25,1.5,-0.4479166666666665,0.5,0.5,4,0.46650018315663344,2.02871526947772
1.25,1.5,-0.4479166666666665,0.5,0.5,5,0.46650018315663344,2.0334455582985367
1.25,1.5,-0.4479166666666665,0.5,0.5,7,0.46650018315663344,-0.6732961883927877
1.25,1.5,-0.4479166666666665,0.5,0.5,10,0.46650018315663344,1.2215999267941577
1.25,1.5,-0.4479166666666665,0.5,0.5,13,0.46650018315663344,2.3417435058535774
1.25,1.5,-0.4479166666666665,0.5,0.75,0,0.46650018315663344,2.186848793210214
1.25,1.5,-0.4479166666666665,0.5,0.75,1,0.46650018315663344,1.8588655718956821
1.25,1.5,-0.4479166666666665,0.5,0.75,2,0.46650018315663344,1.0701060073397999
1.25,1.5,-0.4479166666666665,0.5,0.75,3,0.46650018315663344,1.383231089778993
1.25,1.5,-0.4479166666666665,0.5,0.75,4,0.46650018315663344,2.02871526947772
1.25,1.5,-0.4479166666666665,0.5,0.75,5,0.46650018315663344,2.0334455582985367
1.25,1.5,-0.4479166666666665,0.5,0.75,7,0.46650018315663344,-0.6732961883927877
1.25,1.5,-0.4479166666666665,0.5,0.75,10,0.46650018315663344,1.2215999267941577
1.25,1.5,-0.4479166666666665,0.5,0.75,13,0.46650018315663344,2.3417435058535774
1.25,1.5,-0.4479166666666665,0.5,0.9,0,0.46650018315663344,2.186848793210214
1.25,1.5,-0.4479166666666665,0.5,0.9,1,0.46650018315663344,1.8588655718956821
1.25,1.5,-0.4479166666666665,0.5,0.9,2,0.46650018315663344,1.0701060073397999
1.25,1.5,-0.4479166666666665,0.5,0.9,3,0.46650018315663344,1.383231089778993
1.25,1.5,-0.4479166666666665,0.5,0.9,4,0.46650018315663344,2.02871526947772
1.25,1.5,-0.4479166666666665,0.5,0.9,5,0.46650018315663344,2.0334455582985367
1.25,1.5,-0.4479166666666665,0.5,0.9,7,0.46650018315663344,-0.6732961883927877
1.25,1.5,-0.4479166666666665,0.5,0.9,10,0.46650018315663344,1.2215999267941577
1.25,1.5,-0.4479166666666665,0.5,0.9,13,0.46650018315663344,2.3417435058535774
1.25,1.5,-0.4479166666666665,0.5,0.95,0,0.46650018315663344,2.186848793210214
1.25,1.5,-0.4479166666666665,0.5,0.95,1,0.46650018315663344,1.8588655718956821
1.25,1.5,-0.4479166666666665,0.5,0.95,2,0.46650018315663344,1.0701060073397999
